row_type,activity_name,default_state_id,default_state_option_code,quantity_2025,unit,anchor_status,source_family,coverage_note
service_demand_anchor,residential_building_services,buildings__residential__incumbent_mixed_fuels,O0,477000000.0,GJ_service_eq,official_direct,Australian Energy Update 2025 Table 5 / Table 11,Aligned to 2023–24 residential final energy use as the incumbent service-demand anchor.
service_demand_anchor,commercial_building_services,buildings__commercial__incumbent_mixed_fuels,O0,314000000.0,GJ_service_eq,official_direct,Australian Energy Update 2025 Table 5 / Table 11,Aligned to 2023–24 commercial final energy use as the incumbent service-demand anchor.
service_demand_anchor,passenger_road_transport,road_transport__passenger_road__ice_fleet,O0,293414730000.0,pkm,official_direct,BITRE Yearbook 2024 Table 5.1,Anchored to 2023–24 road passenger task represented by passenger cars plus buses (276.2 + 17.2 = 293.4 billion pkm).
service_demand_anchor,freight_road_transport,road_transport__freight_road__diesel,O0,249000000000.0,tkm,official_direct,BITRE Yearbook 2024 freight chapter,Anchored to 2023–24 road freight task (~249 billion tonne-km).
service_demand_anchor,low_temperature_heat,generic_industrial_heat__low_temperature_heat__fossil,O0,120000000.0,GJ_useful_heat,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited low-temperature useful-heat anchor from the synthetic Phase 1 calibration build; broad manufacturing proxy.
service_demand_anchor,medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__fossil,O0,140000000.0,GJ_useful_heat,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited medium-temperature useful-heat anchor from the synthetic Phase 1 calibration build; broad manufacturing proxy.
service_demand_anchor,high_temperature_heat,generic_industrial_heat__high_temperature_heat__fossil,O0,170000000.0,GJ_useful_heat,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited high-temperature useful-heat anchor from the synthetic Phase 1 calibration build; broad manufacturing proxy.
service_demand_anchor,crude_steel,steel__crude_steel__bf_bof_conventional,O0,5700000.0,t_crude_steel,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited crude steel output anchor from the Phase 1 calibration build.
service_demand_anchor,cement_equivalent,cement_clinker__cement_equivalent__conventional,O0,9600000.0,t_cement_equivalent,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited cement-equivalent output anchor from the Phase 1 calibration build.
service_demand_anchor,livestock_output_bundle,agriculture__livestock__conventional,O0,31134.94,A$m_output_2024,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited coarse agricultural output-bundle anchor from the Phase 1 calibration build.
service_demand_anchor,cropping_horticulture_output_bundle,agriculture__cropping_horticulture__conventional,O0,36576.29,A$m_output_2024,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited coarse agricultural output-bundle anchor from the Phase 1 calibration build.
derived_explicit_electricity_load,electricity,electricity__grid_supply__incumbent_thermal_mix,O0,139901279.429854,MWh,derived_from_service_demands,Derived from explicit 2025 service-demand anchors and default 2025 state inputs.,Electricity demanded directly by the explicit modelled services under the incumbent default state set.
electricity_output_benchmark,electricity_total_output_benchmark,,,283920000.0,MWh,official_direct,Official electricity generation benchmark already embedded in the Phase 1 baseline companion.,Total electricity generation benchmark used to close the 2025 electricity-supply activity.
residual_family_anchor,commercial_other,commercial_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Commercial other residual family anchor.
residual_family_anchor,residential_other,residential_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Residential other residual family anchor.
residual_family_anchor,transport_other,transport_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Transport other residual family anchor.
residual_family_anchor,manufacturing_other,manufacturing_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Manufacturing other residual family anchor.
residual_family_anchor,mining_other,mining_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Mining other residual family anchor.
residual_family_anchor,construction_other,construction_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Construction other residual family anchor.
residual_family_anchor,water_waste_other,water_waste_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Water and waste other residual family anchor.
residual_family_anchor,other_other,other_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Other sectors residual residual family anchor.
residual_family_anchor,residual_fugitives,residual_fugitives__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Residual fugitive emissions residual family anchor.
residual_family_anchor,residual_ippu_other,residual_ippu_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Residual IPPU other residual family anchor.
residual_family_anchor,residual_agriculture_other,residual_agriculture_other__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Residual agriculture other residual family anchor.
residual_family_anchor,residual_waste,residual_waste__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Residual waste emissions residual family anchor.
residual_family_anchor,residual_lulucf_sink,residual_lulucf_sink__residual_incumbent,R0,1,residual_activity,optional_residual_sink,Migrated residual calibration layer,Residual LULUCF sink residual family anchor.
electricity_losses_own_use_anchor,electricity_grid_losses_own_use,electricity_grid_losses_own_use__residual_incumbent,R0,1,residual_activity,derived_residual_stub,Migrated residual calibration layer,Electricity grid losses and own-use residual family anchor.
